ts_utc,symbol,mid,spread_bp,cover_bid_pct,cover_ask_pct,bid_usd_5,ask_usd_5,bid_usd_10,ask_usd_10,bid_usd_20,ask_usd_20,imb_5,imb_10,imb_20
2026-07-08T08:34:05Z,XRPUSDT,1.07915,0.927,92.401,49.201,1211526,1241912,1793683,1610074,2240532,1919353,0.4938,0.527,0.5386
2026-07-08T09:42:13Z,BTCUSDT,62105.015,0.002,1.519,1.633,14658395,7655123,19904182,8744930,24333163,10369544,0.6569,0.6948,0.7012
2026-07-08T09:42:13Z,ETHUSDT,1739.795,0.057,5.643,5.376,5103422,5716396,6266481,6344053,8162684,8527596,0.4717,0.4969,0.4891
2026-07-08T09:42:14Z,SOLUSDT,77.295,1.294,75.548,65.185,1429295,1551650,3016083,1945100,4189863,2144507,0.4795,0.6079,0.6614
2026-07-08T09:42:15Z,BNBUSDT,562.895,0.178,13.952,11.367,1995354,1113593,3777494,2325225,5030829,3116197,0.6418,0.619,0.6175
2026-07-08T09:42:16Z,XRPUSDT,1.08065,0.925,92.412,49.068,1047191,1312611,1545148,1680334,2093470,2046502,0.4438,0.479,0.5057
2026-07-08T11:59:27Z,BTCUSDT,62299.995,0.002,1.62,1.462,12076340,13893543,14134415,15080683,22046705,17112869,0.465,0.4838,0.563
2026-07-08T11:59:28Z,ETHUSDT,1747.795,0.057,5.722,5.159,4640473,6521452,5381279,8208813,7532933,11463484,0.4157,0.396,0.3965
2026-07-08T11:59:29Z,SOLUSDT,77.555,1.289,75.63,64.98,1849244,1591413,3561798,1874219,4371007,2195039,0.5375,0.6552,0.6657
2026-07-08T11:59:30Z,BNBUSDT,566.135,0.177,13.584,11.228,1148017,1428912,3128728,3295536,4827207,4650127,0.4455,0.487,0.5093
2026-07-08T11:59:30Z,XRPUSDT,1.08675,0.92,92.455,48.801,1546429,1244161,1964591,1638924,2559834,1945768,0.5542,0.5452,0.5681
2026-07-08T14:44:33Z,BTCUSDT,61922.005,0.002,1.364,1.702,12575823,11860807,18010492,13197462,22164354,14679796,0.5146,0.5771,0.6016
2026-07-08T14:44:35Z,ETHUSDT,1729.825,0.058,5.472,5.67,6635274,5367862,7981005,6932086,12393557,7780517,0.5528,0.5352,0.6143
2026-07-08T14:44:36Z,SOLUSDT,76.985,1.299,75.45,65.435,1851805,1295431,2410825,1772165,3781063,2044834,0.5884,0.5763,0.649
2026-07-08T14:44:37Z,BNBUSDT,565.095,0.177,13.657,11.27,1139650,1190874,3296028,2844831,4721538,4060017,0.489,0.5367,0.5377
2026-07-08T14:44:38Z,XRPUSDT,1.07735,0.928,92.389,49.218,1254958,1269515,1809886,1617127,2212607,1897034,0.4971,0.5281,0.5384
2026-07-08T16:53:16Z,BTCUSDT,62039.995,0.002,1.581,1.442,14234052,12500137,19566146,14207690,24281235,15478189,0.5324,0.5793,0.6107
2026-07-08T16:53:18Z,ETHUSDT,1735.425,0.058,5.702,5.367,4922709,5629317,6053774,6165319,7299397,7203345,0.4665,0.4954,0.5033
2026-07-08T16:53:19Z,SOLUSDT,77.295,1.294,75.548,65.185,1830309,1460174,2242650,1879985,3256909,2158425,0.5562,0.544,0.6014
2026-07-08T16:53:20Z,BNBUSDT,566.195,0.177,13.503,11.161,1717865,1518689,3074028,2975574,4499520,4857048,0.5308,0.5081,0.4809
2026-07-08T16:53:21Z,XRPUSDT,1.08215,0.924,92.422,49.018,1588186,1084999,1968272,1425586,2406774,1851703,0.5941,0.58,0.5652
2026-07-08T18:51:26Z,BTCUSDT,62261.995,0.002,1.653,1.418,13498998,14153321,16718061,15429214,24223803,18290002,0.4882,0.52,0.5698
2026-07-08T18:51:27Z,ETHUSDT,1739.495,0.057,5.575,5.291,5008432,5718097,5920953,6194054,7966604,8704976,0.4669,0.4887,0.4779
2026-07-08T18:51:28Z,SOLUSDT,77.255,1.294,75.536,65.206,1725215,1466400,2216451,1799871,3352996,2470135,0.5405,0.5519,0.5758
2026-07-08T18:51:28Z,BNBUSDT,566.585,0.176,13.427,11.134,1772433,1570904,3216824,3197979,4918544,5013719,0.5301,0.5015,0.4952
2026-07-08T18:51:29Z,XRPUSDT,1.08915,0.918,92.471,48.657,1470444,1095865,1838435,1521477,2530727,1861604,0.573,0.5472,0.5762
2026-07-08T20:39:58Z,BTCUSDT,62157.055,0.002,1.495,1.557,14302231,14525094,17136126,15763607,23559232,19059806,0.4961,0.5209,0.5528
2026-07-08T20:39:59Z,ETHUSDT,1736.445,0.058,5.493,5.427,5478721,5803624,6821617,6428892,8374897,7869966,0.4856,0.5148,0.5155
2026-07-08T20:40:00Z,SOLUSDT,77.135,1.296,75.498,65.308,1548728,1739567,1996195,2057378,3179724,2671361,0.471,0.4925,0.5434
2026-07-08T20:40:02Z,BNBUSDT,566.095,0.177,13.477,11.163,1200153,1115054,2480627,2257475,3682949,3745229,0.5184,0.5235,0.4958
2026-07-08T20:40:03Z,XRPUSDT,1.08865,0.919,92.468,48.707,1382151,1227625,2008870,1603025,2390180,1977734,0.5296,0.5562,0.5472
2026-07-08T22:28:29Z,BTCUSDT,62270.425,0.002,1.661,1.427,11629070,14510833,14325317,15800919,21611957,18555515,0.4449,0.4755,0.538
2026-07-08T22:28:30Z,ETHUSDT,1738.825,0.058,5.564,5.363,4748309,6171624,5732116,6679956,7882362,9156892,0.4348,0.4618,0.4626
2026-07-08T22:28:31Z,SOLUSDT,77.315,1.293,75.555,65.168,1717118,1541882,2047478,2021029,3163178,2581054,0.5269,0.5033,0.5507
2026-07-08T22:28:32Z,BNBUSDT,567.755,0.176,13.494,11.166,1357184,844803,2553928,2060649,3738999,3432340,0.6163,0.5534,0.5214
2026-07-08T22:28:33Z,XRPUSDT,1.09105,0.917,92.484,48.627,1241801,1340084,1715490,1786251,2313971,2143434,0.481,0.4899,0.5191
2026-07-09T01:06:24Z,BTCUSDT,62185.995,0.002,1.518,1.504,13976294,11984236,17120808,13555247,23711161,16486644,0.5384,0.5581,0.5899
2026-07-09T01:06:25Z,ETHUSDT,1739.565,0.057,5.502,5.372,5299331,5063136,6291411,5808159,8986723,8466933,0.5114,0.52,0.5149
2026-07-09T01:06:26Z,SOLUSDT,77.875,1.284,75.73,64.726,1504142,1860031,1934463,2485026,2485438,2944608,0.4471,0.4377,0.4577
2026-07-09T01:06:27Z,BNBUSDT,568.955,0.176,13.237,11.12,1543443,943430,3396743,2851690,4765707,4299885,0.6206,0.5436,0.5257
2026-07-09T01:06:28Z,XRPUSDT,1.08925,0.918,92.472,48.671,1245389,1193373,1709802,1627545,2348503,1989457,0.5107,0.5123,0.5414
2026-07-09T05:13:12Z,BTCUSDT,62541.995,0.002,1.759,1.369,10336932,11731219,11255545,16672726,16920837,17909202,0.4684,0.403,0.4858
2026-07-09T05:13:13Z,ETHUSDT,1745.985,0.057,5.64,5.264,4713896,6980135,6171678,9334563,8045920,11086848,0.4031,0.398,0.4205
2026-07-09T05:13:15Z,SOLUSDT,78.195,1.279,75.83,64.473,1858722,1638118,2189381,2048944,2566689,2509869,0.5315,0.5166,0.5056
2026-07-09T05:13:15Z,BNBUSDT,571.735,0.175,12.769,11.02,1172522,1082953,3314122,2569519,4802992,3998462,0.5199,0.5633,0.5457
2026-07-09T05:13:16Z,XRPUSDT,1.09695,0.912,92.525,48.457,1284019,1194998,1672107,1637606,2067990,1969147,0.518,0.5052,0.5122
2026-07-09T08:54:40Z,BTCUSDT,62940.005,0.002,1.519,1.567,19939551,8760924,22151710,11810016,24219274,16301045,0.6947,0.6523,0.5977
2026-07-09T08:54:41Z,ETHUSDT,1754.705,0.057,5.549,5.332,3389003,3780246,3960093,5358614,5798695,7106454,0.4727,0.425,0.4493
2026-07-09T08:54:42Z,SOLUSDT,78.175,1.279,75.823,64.49,1494022,1687731,1947143,1986195,2580091,2591344,0.4696,0.495,0.4989
2026-07-09T08:54:44Z,BNBUSDT,572.665,0.175,12.628,11.107,984534,929107,3181746,2325839,4157964,3605410,0.5145,0.5777,0.5356
2026-07-09T08:54:45Z,XRPUSDT,1.09615,0.912,92.519,48.492,1369027,1082903,1865811,1502589,2273558,1822817,0.5583,0.5539,0.555
